TtzMllN			
SliWNlllt			
N:o			
1.			
Tammikuun	tim		
alkuvunlislo.	tim		
1900	tim		
Tampereella,	loc	ppl	
«,			
«,			
I«n»l»n			
«l			
<lu«p»,			
llllap,			
I9UN			
Tilaushinta			
TnimiMlse»			
la			
taittic»			
llsi»!l,ics!e!l			
!u«»9			
Tynvälill»,			
se»			
la			
Herrain	tit		
G.	per		
E.	per		
Jansson	per		
in			
Kumpp.			
liljapainossl,			
lampe.			
rcN»			
mt.			
s:>ä,			
ynnä			
tailiesa			
ma-mmc			
postilonttoo-.			
rc,«s»			
ml.			
25			
p:iä.			
Kuudes			
Vuosikerta.			
Toimittajat	tit		
O.	per		
Söderhslm,	per		
G.	bper		
Kunnari,	per		
K.	bper		
Prusi	per		
W»«!anwc>,			
Ilmoituksia			
w»«tall!lo!eta»n			
pennin			
nilllws!»			
ensi			
ja			
pennin			
malsust»			
lehdm			
mulll»			
siwuillll,			
pieneltn			
riwiltä.			
Kuolemanilmmtukset			
kehyksellä			
warustetut			
mk.			
Päiwälista.			
Postikonttoori			
on			
awoinna			
Arkipaiwwä:	tim		
«o	tim		
>0-1	tim		
a.	tim		
p.	tim		
ja	tim		
5?6	tim		
i.	tim		
Sunnuntai-	tim		
ja	tim		
luhlapäiwinä:	tim		
klo	tim		
9?lo	tim		
a.	tim		
p.	tim		
ja	tim		
1-2	tim		
i.	tim		
P.	tim		
Aikataulu			
Postit			
lähtevät			
16	tim		
päiwästä	tim		
touko.	tim		
kuuta	tim		
1899	tim		
toistaiseksi.			
Joka			
päiwii:			
klo			
itään			
päin			
menewästä			
ju>			
nassa			
ja			
110	tim		
3,i5	tim		
i.	tim		
länteen			
päin			
menemässä			
junassa.			
Maanantaina	tim		
110	tim		
10	tim		
a.	tim		
p.	tim		
Stormin	loc	ppl	
kautta			
Sam»			
maljoelle.			
Tiistaina	tim		
klo	tim		
i.	tim		
p.	tim		
Stormin	loc	ppl	
kautta			
Kärp			
palaan.			
Tuorstaina:	tim		
110	tim		
a.	tim		
p,	tim		
Punkalaitumelle	loc	ppl	
ja			
klo	tim		
i.	tim		
p.	tim		
Stormin	loc	ppl	
kantta			
Kärppälään.	loc	ppl	
Perjantaina	tim		
110			
10	tim		
a.	tim		
p.	tim		
Stormin	loc	ppl	
kautta			
Sam»	loc	ppl	
maljoelle.	loc	ppl	
Lauwantain»	tim		
klo	tim		
i.	tim		
p.	tim		
Stormin	loc	ppl	
kautta			
Kärppälään.	loc	ppl	
Kirjelaatikko			
tyhjennetään			
aina			
mahan			
ennen			
postin			
lähtöä.			
Kirkkoherran			
kanslia			
on			
arnoin»			
na			
joka	tim		
arlipäimä	tim		
kello	tim		
10?12	tim		
päimällä.			
Postijuna			
lähtee			
jola			
päiwä:			
Porista.	loc	ppl	
kello	tim		
,24	tim		
e.			
pp.			
Asta			
Pci,			
Lähtee			
Tyrmäältä	loc	ppl	
,^			
Saapuu			
Tampereelle	loc	ppl	
1,01			
2,«6			
2,3«			
4,39			
PoStijuna			
lähtee			
jota			
päiwä			
Tampereelta	loc	ppl	
Tulee			
Tyrmäätte	loc	ppl	
Lähtee			
Peipohjasta	loc	ppl	
Saapuu			
I,»°			
j,			
pp			
3,8?			
3."			
..			
5,2,			
6,45			
Setajun»			
lähtee			
joka	tim		
päimä:	tim		
kello	tim		
3,«°	tim		
j.pp			
5-	tim		
Tulee			
TyrniäullMD	loc	ppl	
on			
täällä			
yötä			
ja			
lähtee			
aamulla			
Saapuu			
Tampereelle	loc	ppl	
e.			
pp			
9-			
5,30			
e.			
pp			
8,4°			
Selajuna			
lähtee			
jota			
päiwä^			
Tampereelta	loc	ppl	
Tulee			
Tyrmäälle	loc	ppl	
,.^^^^^D			
on			
täällä			
yötä			
ja			
lähtee			
aamulla			
Lählee			
Saapuu			
7.17	tim		
9,			
-«			
Aseman			
kaikki			
toimistot			
owat			
yleisölle			
awoinna			
seuraamina			
ai>			
koina:			
Arkipätwtnä:	tim		
klo	tim		
4,80?6,	tim		
ja	tim		
12	tim		
a.	tim		
p.	tim		
sekä	tim		
2-5	tim		
ja	tim		
B?9	tim		
j.	tim		
p.	tim		
p.	tim		
Sunnuntai-	tim		
ja	tim		
luhlapaitvinä:	tim		
kello	tim		
B?9	tim		
a.	tim		
p.	tim		
ainoastaan			
helposti			
pilaantumille			
tamaroille.			
loulupäiwinä,	tim		
uudcnwuodenpäiwänä,	tim		
piikäperjllntllina,	tim		
pääsiäispäimäuä,	tim		
hclatuorstaina	tim		
>a	tim		
hellunlaipäiwäiiä	tim		
ei			
harjoiteta			
mitään			
loi>			
mitusta.			
Mt>>ewä			
rahtitawam			
on			
sisään			
jätettäioä			
(hywissä			
ajoissa)			
ennen			
kello	tim		
9,3»	tim		
e.			
pp.			
tunti			
ennen			
ju>			
Pikatawaraa			
nan			
lähtöaikaa.			
Uloswientiwoi			
on			
sisäänjätettämä			
Kestimiiktoisin			
ennen			
tcllo			
j.			
p.			
Pilettien			
myynti			
matkustajia			
martrn			
ulotetaan			
puoli			
tuntia			
ennen			
junain			
«uloaikaa			
ja			
lopetetaan			
minuullia			
ennen			
junai»			
lähtöaitaa.			
Rautatieaseman			
postiasema:			
on			
yleisölle			
aivoinna			
yllä			
olemina			
toimitus			
aikoina.			
Kirkollisia			
ilmoituksia.			
Papiston			
saarnawuorot			
Tammi»			
kuulla			
19U0,	tim		
Loppiaisena	tim		
Kirkkoherra	tit		
Bäck	per		
pai-			
wäsaarnan			
S.			
Loppiaisesta	tim		
Kirkkoherra	tit		
Väck	per		
Kiitoisissa,	loc	ppl	
pastori	tit		
Törnmall	per		
päi>			
iväsaarnan.			
S.			
Loppiais.	tim		
Pastori	tit		
Törnmall	per		
rippisaarnan,			
Kirkkoherra	tit		
Back	per		
päimäsaarnan.			
S.			
Loppiais.	tim		
Pastori	tit		
Törnmall	per		
päimäsaarnan,			
Kirkkoherra	tit		
Bäck	per		
